"","ProductType.Accessories","ProductType.Display","ProductType.ExtendedWarranty","ProductType.GameConsole","ProductType.Laptop","ProductType.Netbook","ProductType.PC","ProductType.Printer","ProductType.PrinterSupplies","ProductType.Smartphone","ProductType.Software","ProductType.Tablet","x4StarReviews","x2StarReviews","PositiveServiceReview","Volume","Prediction","Error","Model","Partition"
"402",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,-0.04,"svmRadial","training"
"413",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,-0.04,"svmRadial","training"
"432",0,0,0,0,1,0,0,0,0,0,0,0,-0.379137900755165,-0.148735116135728,-0.43841075208443,88,148.61,0.39,"svmRadial","training"
"442",1,0,0,0,0,0,0,0,0,0,0,0,-0.0616065164433947,-0.171799408498723,-0.371795092352121,368,307.12,-0.05,"svmRadial","training"
"462",1,0,0,0,0,0,0,0,0,0,0,0,0.573456252180145,0.335615023487179,0.161130185506356,1464,727.88,-2.48,"svmRadial","training"
"472",1,0,0,0,0,0,0,0,0,0,0,0,1.08150646707898,0.612386531843125,-0.338487262485966,836,896.74,0.39,"svmRadial","training"
"482",1,0,0,0,0,0,0,0,0,0,0,0,4.84954556091198,2.13462982780083,0.827286782829451,2140,2079.29,-0.04,"svmRadial","training"
"492",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.217927993224714,-0.449513362039815,52,79.52,0.27,"svmRadial","training"
"513",1,0,0,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,54.5,0.33,"svmRadial","training"
"522",1,0,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,-0.102606531409737,-0.43841075208443,204,333.2,0.64,"svmRadial","training"
"532",1,0,0,0,0,0,0,0,0,0,0,0,0.128912314143667,-0.125670823772732,0.383182384614054,1896,541.81,-4.7,"svmRadial","training"
"552",1,0,0,0,0,0,0,0,0,0,0,0,0.107743555189549,-0.102606531409737,-0.360692482396736,904,383.95,-1.7,"svmRadial","training"
"562",0,1,0,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.171799408498723,-0.427308142129045,360,291.15,-0.07,"svmRadial","training"
"582",0,1,0,0,0,0,0,0,0,0,0,0,-0.400306659709283,-0.148735116135728,-0.4606159719952,104,173.43,0.42,"svmRadial","training"
"592",0,1,0,0,0,0,0,0,0,0,0,0,-0.463812936571637,-0.24099228558771,-0.4606159719952,84,145.1,0.39,"svmRadial","training"
"602",0,0,0,0,0,0,0,1,0,0,0,0,-0.146281552259867,-0.125670823772732,-0.4606159719952,296,220.36,-0.1,"svmRadial","training"
"613",0,0,0,0,0,0,0,1,0,0,0,0,0.0230685193730773,-0.194863700861719,-0.449513362039815,232,269.81,0.31,"svmRadial","training"
"622",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,16,66.31,0.36,"svmRadial","training"
"632",0,0,0,0,0,0,0,1,0,0,0,0,-0.611994249250463,-0.217927993224714,-0.50502641181674,32,83.26,0.36,"svmRadial","training"
"642",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,8,68.85,0.39,"svmRadial","training"
"652",0,0,0,0,0,0,0,1,0,0,0,0,-0.400306659709283,-0.125670823772732,-0.4606159719952,80,148.51,0.42,"svmRadial","training"
"682",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.471718581950585,32,71.36,0.32,"svmRadial","training"
"692",0,0,0,0,0,0,0,1,0,0,0,0,0.234756108914257,-0.0103493619577544,-0.416205532173661,396,352.73,0.02,"svmRadial","training"
"702",0,0,0,0,0,1,0,0,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.50502641181674,4,64.68,0.39,"svmRadial","training"
"712",0,0,0,0,0,0,0,0,0,0,0,1,0.721637564858971,0.197229269309205,-0.371795092352121,592,531.39,-0.04,"svmRadial","training"
"752",0,0,0,0,0,0,0,0,0,0,0,1,-0.654331767158699,-0.264056577950705,-0.50502641181674,12,188.69,0.81,"svmRadial","training"
"762",0,0,0,0,0,0,0,0,0,1,0,0,-0.146281552259867,-0.0103493619577544,-0.405102922218276,248,308.61,0.39,"svmRadial","training"
"772",0,0,0,0,0,0,0,0,0,1,0,0,-0.315631623892811,-0.217927993224714,-0.449513362039815,72,268.43,0.88,"svmRadial","training"
"792",0,0,0,0,0,0,0,0,0,1,0,0,-0.0827752753975127,-0.03341365432075,-0.260768992798272,1472,333.6,-3.93,"svmRadial","training"
"802",0,0,0,1,0,0,0,0,0,0,0,0,1.16618150289545,0.0588435151312322,-0.183050723110577,1684,1623.47,-0.04,"svmRadial","training"
"710",1,0,0,0,0,0,0,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.471718581950585,44,79.41,0.4,"svmRadial","testing"
"102",1,0,0,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.48282119190597,40,63.46,0.35,"svmRadial","testing"
"132",1,0,0,0,0,0,0,0,0,0,0,0,-0.506150454479873,-0.264056577950705,-0.48282119190597,40,112.74,0.52,"svmRadial","testing"
"152",1,0,0,0,0,0,0,0,0,0,0,0,1.82241303047311,-0.102606531409737,0.127822355640201,1396,1216.44,-0.34,"svmRadial","testing"
"162",1,0,0,0,0,0,0,0,0,0,0,0,-0.548487972388109,-0.217927993224714,-0.50502641181674,32,96.61,0.5,"svmRadial","testing"
"222",0,0,0,0,0,0,0,0,0,0,1,0,3.28305739830725,0.704643701295107,0.105617135729431,1576,1240.46,-0.87,"svmRadial","testing"
"282",0,0,0,0,0,0,0,1,0,0,0,0,-0.506150454479873,-0.24099228558771,-0.449513362039815,88,117.28,0.37,"svmRadial","testing"
"352",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,0.07,"svmRadial","testing"
"372",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,0.07,"svmRadial","testing"
"422",0,0,0,0,0,0,1,0,0,0,0,0,-0.527319213433991,-0.264056577950705,-0.449513362039815,84,85.22,0.28,"svmRadial","testing"
"452",1,0,0,0,0,0,0,0,0,0,0,0,-0.0192689985351587,-0.148735116135728,0.0501040859525063,1536,413.11,-3.56,"svmRadial","testing"
"542",1,0,0,0,0,0,0,0,0,0,0,0,0.467612457409555,-0.217927993224714,-0.427308142129045,432,516.35,0.56,"svmRadial","testing"
"572",0,1,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,0.0357792227682367,-0.371795092352121,656,365.25,-0.72,"svmRadial","testing"
"662",0,0,0,0,0,0,0,1,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.50502641181674,0,71.31,0.52,"svmRadial","testing"
"672",0,0,0,0,0,0,0,1,0,0,0,0,1.20851902080369,0.243357854035197,-0.0387167936905731,824,761.5,0.06,"svmRadial","testing"
"722",0,0,0,0,0,0,0,0,0,1,0,0,-0.654331767158699,-0.217927993224714,-0.493923801861355,16,216.13,0.96,"svmRadial","testing"
"742",0,0,0,0,0,0,0,0,0,0,0,1,0.404106180547201,0.0127149304052411,-0.349589872441351,344,442.97,0.61,"svmRadial","testing"
"782",0,0,0,0,0,1,0,0,0,0,0,0,-0.463812936571637,-0.217927993224714,-0.471718581950585,88,70.11,0.21,"svmRadial","testing"
"114",0,0,0,0,0,0,1,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.48282119190597,12,72.64,0.34,"svmPoly","training"
"214",0,0,0,0,0,0,1,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.493923801861355,8,56.14,0.3,"svmPoly","training"
"314",0,0,0,0,0,0,1,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,49.52,0.27,"svmPoly","training"
"414",0,0,0,0,1,0,0,0,0,0,0,0,-0.273294105984575,-0.194863700861719,-0.427308142129045,196,184.9,0.11,"svmPoly","training"
"514",0,0,0,0,1,0,0,0,0,0,0,0,-0.0192689985351587,-0.102606531409737,-0.427308142129045,232,264.82,0.25,"svmPoly","training"
"614",1,0,0,0,0,0,0,0,0,0,0,0,-0.0404377574892767,-0.0564779466837455,-0.371795092352121,332,308.13,0.07,"svmPoly","training"
"83",1,0,0,0,0,0,0,0,0,0,0,0,-0.273294105984575,-0.148735116135728,-0.449513362039815,132,212.03,0.4,"svmPoly","training"
"93",1,0,0,0,0,0,0,0,0,0,0,0,-0.484981695525755,-0.264056577950705,-0.48282119190597,64,135.45,0.38,"svmPoly","training"
"115",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.171799408498723,-0.48282119190597,84,89.6,0.16,"svmPoly","training"
"123",1,0,0,0,0,0,0,0,0,0,0,0,-0.146281552259867,-0.194863700861719,-0.405102922218276,300,264.52,0.03,"svmPoly","training"
"143",1,0,0,0,0,0,0,0,0,0,0,0,0.636962529042499,-0.079542239046741,-0.0165115737798032,1252,624.02,-1.89,"svmPoly","training"
"173",1,0,0,0,0,0,0,0,0,0,0,0,-0.569656731342227,-0.217927993224714,-0.50502641181674,44,102.7,0.33,"svmPoly","training"
"183",1,0,0,0,0,0,0,0,0,0,0,0,1.44137536929898,0.197229269309205,2.93678267435259,680,1743.06,3.58,"svmPoly","training"
"193",1,0,0,0,0,0,0,0,0,0,0,0,-0.421475418663401,-0.264056577950705,-0.471718581950585,60,158.56,0.46,"svmPoly","training"
"203",0,0,0,0,0,0,0,0,0,0,1,0,-0.633163008204581,-0.217927993224714,-0.4606159719952,80,70.77,0.11,"svmPoly","training"
"215",0,0,0,0,0,0,0,0,0,0,1,0,-0.357969141801047,-0.217927993224714,-0.449513362039815,136,160.08,0.22,"svmPoly","training"
"233",0,0,0,0,0,0,0,0,0,0,1,0,3.91812016693079,8.26973159635765,1.09374942175869,2052,1995.01,-0.04,"svmPoly","training"
"243",0,0,0,0,0,0,0,0,0,0,1,0,-0.294462864938693,-0.24099228558771,-0.4606159719952,116,176.56,0.34,"svmPoly","training"
"253",0,0,0,0,0,0,0,0,0,0,1,0,-0.0192689985351587,-0.194863700861719,-0.427308142129045,308,272.63,0.03,"svmPoly","training"
"263",0,1,0,0,0,0,0,0,0,0,0,0,1.73773799465664,0.243357854035197,-0.0387167936905731,1224,975.27,-0.66,"svmPoly","training"
"273",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,32,59.27,0.23,"svmPoly","training"
"293",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,0,60.81,0.34,"svmPoly","training"
"303",0,0,0,0,0,0,0,0,1,0,0,0,-0.633163008204581,-0.264056577950705,-0.493923801861355,24,73.93,0.31,"svmPoly","training"
"315",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,20,60.69,0.28,"svmPoly","training"
"323",0,0,1,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.24099228558771,-0.50502641181674,0,87.43,0.43,"svmPoly","training"
"333",0,0,1,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,20,80.69,0.34,"svmPoly","training"
"343",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,-0.05,"svmPoly","training"
"363",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,-0.05,"svmPoly","training"
"383",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,-0.05,"svmPoly","training"
"393",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,-0.05,"svmPoly","training"
"403",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,-0.05,"svmPoly","training"
"415",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,-0.05,"svmPoly","training"
"433",0,0,0,0,1,0,0,0,0,0,0,0,-0.379137900755165,-0.148735116135728,-0.43841075208443,88,148.79,0.34,"svmPoly","training"
"443",1,0,0,0,0,0,0,0,0,0,0,0,-0.0616065164433947,-0.171799408498723,-0.371795092352121,368,300.89,-0.07,"svmPoly","training"
"463",1,0,0,0,0,0,0,0,0,0,0,0,0.573456252180145,0.335615023487179,0.161130185506356,1464,658.46,-2.46,"svmPoly","training"
"473",1,0,0,0,0,0,0,0,0,0,0,0,1.08150646707898,0.612386531843125,-0.338487262485966,836,672.31,-0.39,"svmPoly","training"
"483",1,0,0,0,0,0,0,0,0,0,0,0,4.84954556091198,2.13462982780083,0.827286782829451,2140,2200.6,0.34,"svmPoly","training"
"493",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.217927993224714,-0.449513362039815,52,99.12,0.3,"svmPoly","training"
"515",1,0,0,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,72.61,0.34,"svmPoly","training"
"523",1,0,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,-0.102606531409737,-0.43841075208443,204,308.21,0.48,"svmPoly","training"
"533",1,0,0,0,0,0,0,0,0,0,0,0,0.128912314143667,-0.125670823772732,0.383182384614054,1896,582.1,-4.11,"svmPoly","training"
"553",1,0,0,0,0,0,0,0,0,0,0,0,0.107743555189549,-0.102606531409737,-0.360692482396736,904,357.47,-1.62,"svmPoly","training"
"563",0,1,0,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.171799408498723,-0.427308142129045,360,283.18,-0.1,"svmPoly","training"
"583",0,1,0,0,0,0,0,0,0,0,0,0,-0.400306659709283,-0.148735116135728,-0.4606159719952,104,180.86,0.39,"svmPoly","training"
"593",0,1,0,0,0,0,0,0,0,0,0,0,-0.463812936571637,-0.24099228558771,-0.4606159719952,84,160.5,0.39,"svmPoly","training"
"603",0,0,0,0,0,0,0,1,0,0,0,0,-0.146281552259867,-0.125670823772732,-0.4606159719952,296,235.27,-0.05,"svmPoly","training"
"615",0,0,0,0,0,0,0,1,0,0,0,0,0.0230685193730773,-0.194863700861719,-0.449513362039815,232,291.11,0.34,"svmPoly","training"
"623",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,16,56.01,0.27,"svmPoly","training"
"633",0,0,0,0,0,0,0,1,0,0,0,0,-0.611994249250463,-0.217927993224714,-0.50502641181674,32,76.12,0.29,"svmPoly","training"
"643",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,8,59.39,0.31,"svmPoly","training"
"653",0,0,0,0,0,0,0,1,0,0,0,0,-0.400306659709283,-0.125670823772732,-0.4606159719952,80,155.83,0.39,"svmPoly","training"
"683",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.471718581950585,32,65.78,0.25,"svmPoly","training"
"693",0,0,0,0,0,0,0,1,0,0,0,0,0.234756108914257,-0.0103493619577544,-0.416205532173661,396,368.06,0.05,"svmPoly","training"
"703",0,0,0,0,0,1,0,0,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.50502641181674,4,64.47,0.34,"svmPoly","training"
"713",0,0,0,0,0,0,0,0,0,0,0,1,0.721637564858971,0.197229269309205,-0.371795092352121,592,544.28,-0.01,"svmPoly","training"
"753",0,0,0,0,0,0,0,0,0,0,0,1,-0.654331767158699,-0.264056577950705,-0.50502641181674,12,72.47,0.34,"svmPoly","training"
"763",0,0,0,0,0,0,0,0,0,1,0,0,-0.146281552259867,-0.0103493619577544,-0.405102922218276,248,277.31,0.24,"svmPoly","training"
"773",0,0,0,0,0,0,0,0,0,1,0,0,-0.315631623892811,-0.217927993224714,-0.449513362039815,72,210.22,0.59,"svmPoly","training"
"793",0,0,0,0,0,0,0,0,0,1,0,0,-0.0827752753975127,-0.03341365432075,-0.260768992798272,1472,339.37,-3.52,"svmPoly","training"
"803",0,0,0,1,0,0,0,0,0,0,0,0,1.16618150289545,0.0588435151312322,-0.183050723110577,1684,1623.32,-0.05,"svmPoly","training"
"714",1,0,0,0,0,0,0,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.471718581950585,44,98.98,0.46,"svmPoly","testing"
"103",1,0,0,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.48282119190597,40,82.49,0.42,"svmPoly","testing"
"133",1,0,0,0,0,0,0,0,0,0,0,0,-0.506150454479873,-0.264056577950705,-0.48282119190597,40,128.83,0.58,"svmPoly","testing"
"153",1,0,0,0,0,0,0,0,0,0,0,0,1.82241303047311,-0.102606531409737,0.127822355640201,1396,1036.94,-0.98,"svmPoly","testing"
"163",1,0,0,0,0,0,0,0,0,0,0,0,-0.548487972388109,-0.217927993224714,-0.50502641181674,32,109.32,0.54,"svmPoly","testing"
"223",0,0,0,0,0,0,0,0,0,0,1,0,3.28305739830725,0.704643701295107,0.105617135729431,1576,1466.4,-0.11,"svmPoly","testing"
"283",0,0,0,0,0,0,0,1,0,0,0,0,-0.506150454479873,-0.24099228558771,-0.449513362039815,88,125.37,0.4,"svmPoly","testing"
"353",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,0.06,"svmPoly","testing"
"373",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.38,0.06,"svmPoly","testing"
"423",0,0,0,0,0,0,1,0,0,0,0,0,-0.527319213433991,-0.264056577950705,-0.449513362039815,84,108.88,0.36,"svmPoly","testing"
"453",1,0,0,0,0,0,0,0,0,0,0,0,-0.0192689985351587,-0.148735116135728,0.0501040859525063,1536,437.97,-3.57,"svmPoly","testing"
"543",1,0,0,0,0,0,0,0,0,0,0,0,0.467612457409555,-0.217927993224714,-0.427308142129045,432,449.86,0.33,"svmPoly","testing"
"573",0,1,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,0.0357792227682367,-0.371795092352121,656,340.28,-0.83,"svmPoly","testing"
"663",0,0,0,0,0,0,0,1,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.50502641181674,0,62.63,0.49,"svmPoly","testing"
"673",0,0,0,0,0,0,0,1,0,0,0,0,1.20851902080369,0.243357854035197,-0.0387167936905731,824,784.62,0.13,"svmPoly","testing"
"723",0,0,0,0,0,0,0,0,0,1,0,0,-0.654331767158699,-0.217927993224714,-0.493923801861355,16,91.28,0.54,"svmPoly","testing"
"743",0,0,0,0,0,0,0,0,0,0,0,1,0.404106180547201,0.0127149304052411,-0.349589872441351,344,450.52,0.64,"svmPoly","testing"
"783",0,0,0,0,0,1,0,0,0,0,0,0,-0.463812936571637,-0.217927993224714,-0.471718581950585,88,140.56,0.46,"svmPoly","testing"
"116",0,0,0,0,0,0,1,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.48282119190597,12,24.34,0.04,"lm","training"
"216",0,0,0,0,0,0,1,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.493923801861355,8,7.45,0,"lm","training"
"316",0,0,0,0,0,0,1,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,0.21,-0.04,"lm","training"
"416",0,0,0,0,1,0,0,0,0,0,0,0,-0.273294105984575,-0.194863700861719,-0.427308142129045,196,155.5,-0.14,"lm","training"
"516",0,0,0,0,1,0,0,0,0,0,0,0,-0.0192689985351587,-0.102606531409737,-0.427308142129045,232,243.18,0.04,"lm","training"
"616",1,0,0,0,0,0,0,0,0,0,0,0,-0.0404377574892767,-0.0564779466837455,-0.371795092352121,332,428.25,0.33,"lm","training"
"84",1,0,0,0,0,0,0,0,0,0,0,0,-0.273294105984575,-0.148735116135728,-0.449513362039815,132,330.8,0.68,"lm","training"
"94",1,0,0,0,0,0,0,0,0,0,0,0,-0.484981695525755,-0.264056577950705,-0.48282119190597,64,250.09,0.63,"lm","training"
"117",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.171799408498723,-0.48282119190597,84,200.3,0.4,"lm","training"
"124",1,0,0,0,0,0,0,0,0,0,0,0,-0.146281552259867,-0.194863700861719,-0.405102922218276,300,383.5,0.28,"lm","training"
"144",1,0,0,0,0,0,0,0,0,0,0,0,0.636962529042499,-0.079542239046741,-0.0165115737798032,1252,737.29,-1.76,"lm","training"
"174",1,0,0,0,0,0,0,0,0,0,0,0,-0.569656731342227,-0.217927993224714,-0.50502641181674,44,216.72,0.59,"lm","training"
"184",1,0,0,0,0,0,0,0,0,0,0,0,1.44137536929898,0.197229269309205,2.93678267435259,680,1660.76,3.34,"lm","training"
"194",1,0,0,0,0,0,0,0,0,0,0,0,-0.421475418663401,-0.264056577950705,-0.471718581950585,60,274.22,0.73,"lm","training"
"204",0,0,0,0,0,0,0,0,0,0,1,0,-0.633163008204581,-0.217927993224714,-0.4606159719952,80,57.57,-0.08,"lm","training"
"217",0,0,0,0,0,0,0,0,0,0,1,0,-0.357969141801047,-0.217927993224714,-0.449513362039815,136,154.06,0.06,"lm","training"
"234",0,0,0,0,0,0,0,0,0,0,1,0,3.91812016693079,8.26973159635765,1.09374942175869,2052,2032.33,-0.07,"lm","training"
"244",0,0,0,0,0,0,0,0,0,0,1,0,-0.294462864938693,-0.24099228558771,-0.4606159719952,116,173.13,0.19,"lm","training"
"254",0,0,0,0,0,0,0,0,0,0,1,0,-0.0192689985351587,-0.194863700861719,-0.427308142129045,308,274.91,-0.11,"lm","training"
"264",0,1,0,0,0,0,0,0,0,0,0,0,1.73773799465664,0.243357854035197,-0.0387167936905731,1224,1041.6,-0.62,"lm","training"
"274",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,32,25.55,-0.02,"lm","training"
"294",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,0,9.99,0.03,"lm","training"
"304",0,0,0,0,0,0,0,0,1,0,0,0,-0.633163008204581,-0.264056577950705,-0.493923801861355,24,24.24,0,"lm","training"
"317",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,20,9.77,-0.03,"lm","training"
"324",0,0,1,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.24099228558771,-0.50502641181674,0,276.06,0.94,"lm","training"
"334",0,0,1,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,20,268.61,0.85,"lm","training"
"344",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"364",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"384",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"394",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"404",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"417",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1144.55,-0.3,"lm","training"
"434",0,0,0,0,1,0,0,0,0,0,0,0,-0.379137900755165,-0.148735116135728,-0.43841075208443,88,117.32,0.1,"lm","training"
"444",1,0,0,0,0,0,0,0,0,0,0,0,-0.0616065164433947,-0.171799408498723,-0.371795092352121,368,419.94,0.18,"lm","training"
"464",1,0,0,0,0,0,0,0,0,0,0,0,0.573456252180145,0.335615023487179,0.161130185506356,1464,758.3,-2.41,"lm","training"
"474",1,0,0,0,0,0,0,0,0,0,0,0,1.08150646707898,0.612386531843125,-0.338487262485966,836,825.26,-0.04,"lm","training"
"484",1,0,0,0,0,0,0,0,0,0,0,0,4.84954556091198,2.13462982780083,0.827286782829451,2140,2382.38,0.83,"lm","training"
"494",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.217927993224714,-0.449513362039815,52,207.15,0.53,"lm","training"
"517",1,0,0,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,182.54,0.58,"lm","training"
"524",1,0,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,-0.102606531409737,-0.43841075208443,204,434.96,0.79,"lm","training"
"534",1,0,0,0,0,0,0,0,0,0,0,0,0.128912314143667,-0.125670823772732,0.383182384614054,1896,650.62,-4.25,"lm","training"
"554",1,0,0,0,0,0,0,0,0,0,0,0,0.107743555189549,-0.102606531409737,-0.360692482396736,904,480.9,-1.44,"lm","training"
"564",0,1,0,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.171799408498723,-0.427308142129045,360,323.24,-0.13,"lm","training"
"584",0,1,0,0,0,0,0,0,0,0,0,0,-0.400306659709283,-0.148735116135728,-0.4606159719952,104,214.87,0.38,"lm","training"
"594",0,1,0,0,0,0,0,0,0,0,0,0,-0.463812936571637,-0.24099228558771,-0.4606159719952,84,192.3,0.37,"lm","training"
"604",0,0,0,0,0,0,0,1,0,0,0,0,-0.146281552259867,-0.125670823772732,-0.4606159719952,296,215.01,-0.28,"lm","training"
"617",0,0,0,0,0,0,0,1,0,0,0,0,0.0230685193730773,-0.194863700861719,-0.449513362039815,232,274.68,0.15,"lm","training"
"624",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,16,23.12,0.02,"lm","training"
"634",0,0,0,0,0,0,0,1,0,0,0,0,-0.611994249250463,-0.217927993224714,-0.50502641181674,32,45.25,0.05,"lm","training"
"644",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,8,25.76,0.06,"lm","training"
"654",0,0,0,0,0,0,0,1,0,0,0,0,-0.400306659709283,-0.125670823772732,-0.4606159719952,80,128.18,0.16,"lm","training"
"684",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.471718581950585,32,30.4,-0.01,"lm","training"
"694",0,0,0,0,0,0,0,1,0,0,0,0,0.234756108914257,-0.0103493619577544,-0.416205532173661,396,356.04,-0.14,"lm","training"
"704",0,0,0,0,0,1,0,0,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.50502641181674,4,4,0,"lm","training"
"715",0,0,0,0,0,0,0,0,0,0,0,1,0.721637564858971,0.197229269309205,-0.371795092352121,592,553.88,-0.13,"lm","training"
"754",0,0,0,0,0,0,0,0,0,0,0,1,-0.654331767158699,-0.264056577950705,-0.50502641181674,12,50.12,0.13,"lm","training"
"764",0,0,0,0,0,0,0,0,0,1,0,0,-0.146281552259867,-0.0103493619577544,-0.405102922218276,248,602.82,1.21,"lm","training"
"774",0,0,0,0,0,0,0,0,0,1,0,0,-0.315631623892811,-0.217927993224714,-0.449513362039815,72,533.29,1.57,"lm","training"
"794",0,0,0,0,0,0,0,0,0,1,0,0,-0.0827752753975127,-0.03341365432075,-0.260768992798272,1472,655.88,-2.78,"lm","training"
"804",0,0,0,1,0,0,0,0,0,0,0,0,1.16618150289545,0.0588435151312322,-0.183050723110577,1684,1684,0,"lm","training"
"716",1,0,0,0,0,0,0,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.471718581950585,44,209.1,0.64,"lm","testing"
"104",1,0,0,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.48282119190597,40,192.2,0.59,"lm","testing"
